X,Y
17.18857956,6.8051815
17.1986718,6.8580591
17.19241326,6.90435745
17.17584293,6.95400838
17.15194,7.01826041
17.12163796,7.11230472
17.08528766,7.25589949
17.04691044,7.46227073
17.02072511,7.71189634
17.02384871,7.95236554
17.05402508,8.14211348
17.09293368,8.28282593
17.12803768,8.40338667
17.15831185,8.53765614
17.18869166,8.71662332
17.22409131,8.95818529
17.26922567,9.25321992
17.33856578,9.57761658
17.45870907,9.92050317
17.64180957,10.26773736
17.85774429,10.58699078
18.04854567,10.86036492
18.16159138,11.11094013
18.188225,11.37101999
18.17029754,11.62166908
18.14905901,11.82505392
18.13100243,11.98652554
