X,Y
17.18857956,6.8051815
17.0169719,6.91617491
16.74479073,6.88905725
16.35700217,6.76218021
15.86175218,6.72367996
14.93581463,6.65515297
13.77578194,6.62775471
13.04674825,6.73141038
12.5112896,6.83018461
12.04355881,6.87755824
11.62254407,6.79197662
11.27248412,6.6567921
10.97256383,6.58229656
10.70378319,6.6348054
10.47471604,6.77704192
10.25587099,6.94349862
10.00043329,7.10996614
9.71801001,7.28393855
9.46861096,7.50438673
9.30615589,7.78189894
9.23150992,8.09668717
9.17431079,8.42995364
9.05748532,8.73584865
8.88514352,8.9765539
8.69316602,9.16927515
8.4914501,9.33758226
8.2690382,9.47509956
