X,Y
8.2690382,9.47509956
8.45557926,9.38148554
8.65040553,9.3046193
8.8490784,9.23101278
9.04832458,9.14982699
9.24366727,9.05531164
9.43127952,8.94619038
9.61150928,8.8232413
9.7896336,8.68641488
9.97513615,8.53207148
10.17957299,8.35192881
10.40532051,8.1393246
10.6330049,7.90436162
10.84135429,7.67093759
11.02852699,7.45108279
11.1986376,7.23678044
11.35013455,7.01562925
11.48797846,6.78286228
11.65786004,6.54581643
11.97930542,6.34977071
12.49459735,6.24166864
13.11604548,5.78892378
13.70684987,4.44884622
13.77989014,3.47962226
13.78094383,2.9646831
13.85437729,2.67410981
14.02613831,2.57149863
