X,Y
14.02613831,2.57149863
13.88939427,2.63562061
13.74158978,2.73554584
13.58585642,2.87855917
13.4243565,3.07287187
13.22812122,3.37075048
13.01998326,4.16170905
13.00151261,5.41361604
12.63726918,6.38656883
12.29328806,6.67874468
11.9220049,6.77582605
11.56497815,6.75131742
11.23774076,6.70036276
10.93439646,6.71067813
10.65886154,6.81023767
10.40663054,6.95939961
10.15034297,7.1184633
9.88077128,7.28236015
9.62449849,7.47575331
9.41931707,7.7181031
9.27857516,7.99827893
9.17115695,8.29748895
9.04494765,8.59179992
8.88032098,8.85474529
8.69192534,9.08362922
8.4899923,9.29076368
8.2690382,9.47509956
