X,Y
14.02613831,2.57149863
13.87654337,2.638319
13.71131494,2.75724468
13.53338021,2.93653367
13.29388495,3.20175012
13.05540363,4.03757622
13.02600381,5.38539197
12.60585129,6.63815331
12.43904836,7.07230322
12.26018866,7.48434395
12.04123555,7.90520738
11.80581235,8.31655524
11.57538126,8.68847458
11.34674515,9.01221708
11.11469644,9.30043698
10.89366754,9.58042519
10.70692621,9.88312252
10.56250741,10.22500613
10.45167258,10.60422885
10.37055357,11.01456836
10.32129201,11.47662401
10.34333429,12.09840909
10.57022783,12.85816241
10.67026856,13.48207376
10.51213248,14.11523806
10.04539623,14.62719735
9.65127087,14.78445816
