X,Y
9.65127087,14.78445816
9.63223935,14.53653763
9.54346206,14.16175728
9.6638608,13.65822449
9.85414163,13.02130972
9.81126677,12.4921809
9.60641835,12.1142585
9.34374354,11.8709145
9.07349425,11.72689434
8.83171236,11.63565436
8.64293481,11.55336941
8.51169275,11.45537473
8.43115485,11.3371535
8.39225902,11.20439991
8.38495957,11.06348663
8.39807972,10.91777755
8.42012863,10.76982778
8.4410895,10.6225129
8.45372766,10.47846778
8.45430528,10.33981557
8.4425206,10.20726839
8.41958894,10.0803576
8.38794612,9.95784986
8.35142523,9.83770987
8.31511861,9.71795668
8.28547523,9.5972014
8.2690382,9.47509956
