X,Y
9.65127087,14.78445816
9.5782444,14.40029972
9.57726524,13.84230616
9.86968555,13.02400703
9.88863461,12.36261785
9.83730643,11.82429554
9.90897309,11.37620766
10.05865079,11.0042415
10.23424059,10.68077469
10.43982755,10.39552146
10.67097499,10.14179497
10.90648676,9.90390819
11.1370673,9.66646202
11.37174793,9.42660099
11.63013626,9.19057428
11.94079821,8.95684438
12.33783256,8.70828701
12.79508703,8.44062023
13.22165892,8.17570327
13.64225444,7.91946904
14.17307314,7.65718187
14.78771898,7.27223924
15.14880067,6.5100549
14.79547114,5.17767484
14.56091026,3.9254181
14.29545331,3.04953185
14.02613831,2.57149863
