X,Y
-0.56901949,12.41500574
-0.85047412,12.39835845
-1.11717376,12.19063089
-1.35365472,11.820892
-1.59385712,11.33409871
-1.91611979,10.74172508
-2.32556994,10.093652
-2.71609252,9.51156467
-3.00316458,9.0191281
-3.18527014,8.60987874
-3.31220181,8.29025605
-3.434788,8.05473896
-3.58469304,7.88315599
-3.77985887,7.74980999
-4.03016499,7.63010062
-4.33417532,7.50262373
-4.67028284,7.3508851
-4.99908326,7.16626767
-5.28384842,6.94864866
-5.508049,6.70335641
-5.67391883,6.43804123
-5.79285068,6.16207408
-5.8778352,5.88633547
-5.94015562,5.62146811
-5.9886852,5.37477829
-6.02935552,5.14727751
-6.06386905,4.93305462
