X,Y
-0.56901949,12.41500574
-1.03429743,12.20217572
-1.38598269,11.66066357
-1.7416599,10.89403868
-2.1793023,9.97880533
-2.4160708,9.1379163
-2.18361131,8.3988289
-1.58924091,7.85646555
-0.85986608,7.31544095
-0.35319889,5.93792955
-0.55728492,4.21468088
-0.58477059,2.94474596
0.2594821,2.26622981
0.88389571,1.83834557
1.21907905,1.19806806
1.21229892,0.3126688
0.4949567,-0.59814388
-0.44079608,-1.32750049
-0.90006953,-1.87720558
-0.90624191,-2.37146009
-0.75122821,-2.80031878
-0.59796728,-3.1878381
-0.52018477,-3.64370791
-0.65878193,-4.33470468
-1.13810605,-5.01480235
-1.66452859,-5.3822235
-2.13562324,-5.52055071
