X,Y
-0.56901949,12.41500574
0.03787801,12.90597892
0.69593528,13.3195469
1.41850202,13.5521176
2.10817683,13.54196773
2.70762141,13.31208629
3.18805933,12.91562119
3.53108949,12.40455303
3.73677888,11.82941793
3.84067548,11.23361712
3.91845552,10.63540251
4.05578795,10.02741136
4.2826324,9.41635101
4.55999185,8.83411611
4.83553399,8.28026002
5.06798367,7.71916242
5.21374061,7.12469036
5.23420065,6.50211881
5.11764006,5.88343542
4.91701501,5.29176511
4.83962717,4.62126936
5.38020611,3.54137913
6.47136551,2.73105403
7.83735932,2.87599962
9.45256819,3.10413413
10.39669624,2.44726538
11.30202635,2.07781873
