X,Y
-6.06386905,4.93305462
-6.36636504,4.57565731
-6.66718594,4.17513352
-6.93770105,3.7328539
-7.11741338,3.2425943
-7.10347658,2.69292466
-6.65999624,2.12891874
-5.44927959,1.82544372
-4.15634057,1.62032494
-3.52547481,1.12669047
-2.84313977,0.79069651
-1.67289713,1.18643476
-0.37035203,1.62471517
0.34006188,1.60129272
0.74430796,1.27041412
0.80866939,0.56181052
0.28679638,-0.355976
-0.4723487,-1.15001842
-0.91217808,-1.74426111
-0.94936044,-2.27966789
-0.79078629,-2.76101588
-0.61661502,-3.19707729
-0.52541176,-3.69153313
-0.65669276,-4.37319166
-1.110738,-5.01705153
-1.6384675,-5.37794851
-2.13562324,-5.52055071
