X,Y
-6.06386905,4.93305462
-6.56213661,4.46531158
-7.06678042,3.95261631
-7.54754511,3.42136391
-7.96505526,2.86189398
-8.28336964,2.25225192
-8.45866466,1.58987655
-8.43887914,0.90245198
-8.16316018,0.25827498
-7.53967106,-0.19616188
-6.3434829,-0.01176962
-4.40529138,1.01536582
-3.25100633,0.7537789
-2.1891109,0.91705276
-0.64000533,1.69843104
0.34759767,1.9943868
1.13530357,2.25121172
2.11730063,2.01189558
3.4601558,1.39250333
4.85705016,1.01313598
6.27661077,0.8964364
7.15578825,1.15612573
8.00197368,1.6531049
8.85132587,2.03143893
9.71009834,2.10620255
10.56589764,2.04276047
11.30202635,2.07781873
