X,Y
-2.13562324,-5.52055071
-2.59799857,-5.6443863
-3.16554667,-5.52912142
-3.75482865,-5.08605525
-4.0331211,-4.37728241
-3.9152841,-3.60028019
-3.52094151,-2.89426194
-2.97700496,-2.32030662
-2.51462045,-1.8094666
-2.32467138,-1.20611188
-2.31441933,-0.38223998
-1.99952337,0.46368059
-1.24719367,1.31067506
-0.5712203,1.97636504
-0.09223973,2.59262305
0.22442409,3.37265316
0.38623205,4.2748785
0.44645552,5.20778839
0.33967702,6.2122468
0.20701487,7.1803255
0.10218168,8.03417621
-0.06908164,8.96028721
-0.23680503,9.89103492
-0.37276989,10.65084547
-0.45702236,11.30981415
-0.49307055,11.90452738
-0.56901949,12.41500574
