X,Y
-2.13562324,-5.52055071
-2.47385157,-5.625772
-2.86146326,-5.62036686
-3.29893849,-5.46664483
-3.72604748,-5.1410573
-4.00759629,-4.6697786
-4.08136155,-4.12322094
-3.98668259,-3.56574353
-3.76696488,-3.03853809
-3.46047203,-2.56976813
-3.13740189,-2.15089611
-2.89449621,-1.72399332
-2.80788726,-1.20592202
-2.83170133,-0.58510702
-2.78280953,0.00826503
-2.59439803,0.53812182
-2.33395389,1.09587972
-2.15529166,1.70164471
-2.26842747,2.25880061
-2.72815581,2.75535218
-3.31655067,3.31858433
-3.82655894,3.93792141
-4.33735695,4.41998661
-4.8727892,4.71045395
-5.34101001,4.85844198
-5.7228603,4.92003366
-6.06386905,4.93305462
