X,Y
-2.13562324,-5.52055071
-2.70116967,-5.6217827
-3.38699273,-5.36380335
-3.92120154,-4.67348953
-3.91379002,-3.77601922
-3.48443151,-2.9397459
-2.846819,-2.2731775
-2.35731218,-1.67213053
-2.22749262,-0.90490021
-2.08791033,0.05425013
-1.33777281,0.96370919
-0.4534651,1.56821383
0.236586,1.86970606
0.8658423,2.07821148
1.52558614,2.11503453
2.43621105,1.73797376
3.41280573,1.33098885
4.3917849,0.99662171
5.62805071,0.73639434
6.55274255,0.75097492
7.26764234,0.98219489
7.95928414,1.36182859
8.63667143,1.71804592
9.30862221,1.91591067
10.00596908,1.97220067
10.69278797,1.99294726
11.30202635,2.07781873
