X,Y
11.30202635,2.07781873
11.8411177,2.19092008
12.26366514,2.51241791
12.54765125,3.02035749
12.56025005,3.61656669
12.082377,4.14698209
10.84376164,4.30072621
9.7251661,4.29837622
9.28817482,4.6400574
9.00031391,5.11138494
8.67893836,5.58388044
8.28058853,5.98133895
7.81362046,6.2623628
7.3081055,6.42250169
6.79046592,6.48198343
6.27453992,6.46925393
5.76319862,6.41362449
5.24740421,6.34754932
4.69413839,6.3176909
4.01337003,6.40551919
3.06606564,6.73156672
2.11287491,7.33361268
1.51665557,8.08668663
0.87640312,8.96283853
0.05413147,10.37933903
-0.44288558,11.62884504
-0.56901949,12.41500574
