X,Y
11.30202635,2.07781873
11.85295657,2.32410414
12.20776944,2.80618614
12.21630574,3.43745639
11.5891948,3.97050533
10.37622036,4.12101082
9.56751326,4.32864155
9.15885504,4.77400552
8.78485289,5.28572506
8.32733532,5.73359885
7.78129982,6.03270534
7.19163364,6.16291001
6.59987111,6.1503521
6.02607383,6.03375592
5.471402,5.84832337
4.91898637,5.62835885
4.31930561,5.43504138
3.52484597,5.44233414
2.22145535,5.88477735
0.69970451,6.44733629
-0.91978951,6.93772415
-2.22649854,6.90898747
-3.26556304,6.83456297
-4.48085729,6.56790794
-5.44437002,6.04982346
-5.85983937,5.48202153
-6.06386905,4.93305462
