X,Y
11.30202635,2.07781873
12.00428615,2.37799443
12.38404311,3.0762249
12.03685323,3.88111399
10.52039852,4.14861555
9.42175423,4.39945709
8.94916185,5.06136037
8.39689784,5.68979443
7.68494737,6.06605828
6.9109766,6.14470278
6.16348293,5.99256352
5.4682085,5.68637114
4.80804597,5.27809868
4.16283654,4.81310209
3.54008507,4.32666996
2.89598653,3.7588571
3.298521,1.45941951
3.16609402,-0.85673516
2.47967255,-2.15222731
1.95053394,-2.46608139
1.46787908,-2.64333026
0.95542128,-2.8042799
0.46233323,-2.99697651
0.10893211,-3.40944033
-0.31270402,-4.76726112
-1.4887699,-5.49328641
-2.13562324,-5.52055071
