X,Y
0.22253251,4.75044716
0.33219982,4.71181145
0.43498899,4.64699395
0.53011594,4.55762443
0.61746151,4.44716428
0.69781251,4.32024937
0.77255787,4.18150682
0.84279502,4.03440302
0.90852381,3.88089681
0.96871718,3.72212525
1.02237532,3.5595566
1.06975562,3.39568082
1.11265599,3.23366483
1.15345909,3.07624647
1.19382661,2.92475604
1.23408344,2.77894175
1.27351982,2.63755995
1.31118587,2.49925977
1.34666857,2.36331379
1.38050372,2.22991748
1.41406973,2.09997323
1.44906418,1.97452611
1.48690703,1.85421418
1.5284209,1.73904038
1.57389472,1.6285065
1.6234001,1.52193278
1.6771621,1.41875884
1.73582364,1.3187071
1.8004997,1.22178265
1.8725909,1.12814708
1.95343416,1.03794349
2.0439729,0.9511678
2.1446434,0.8676667
2.25553873,0.78727856
2.37668516,0.71003369
2.50811591,0.63625617
2.64950018,0.56644513
2.79944576,0.50099106
2.95514117,0.44001365
3.11307821,0.38358998
3.27049136,0.33217482
3.42612468,0.28665694
3.57974759,0.24788835
3.73115975,0.21612492
3.8795512,0.19088463
4.02357184,0.17137695
4.16196191,0.15726032
4.29416052,0.14928951
4.42030883,0.14955869
4.5405984,0.16136558
4.65435871,0.18889316
4.75927026,0.23688076
